age,gender,caste_category,region,income_bracket,health_score,access_to_hospital
56,0,1,1,2,0.23,FALSE
4,0,1,1,1,0.2,TRUE
25,0,0,1,0,0.18,FALSE
25,1,2,1,2,0.46,TRUE
62,0,3,0,2,0.54,TRUE
78,1,1,0,2,0.32,FALSE
1,1,0,1,1,0.36,TRUE
79,0,1,0,2,0.26,FALSE
36,1,0,0,1,0.38,TRUE
78,0,2,1,1,0.34,TRUE
39,1,1,1,1,0.45,FALSE
10,1,1,1,2,0.13,FALSE
11,0,2,1,2,0.36,TRUE
53,0,2,0,1,0.45,TRUE
16,1,2,1,2,0.4,TRUE
55,0,2,1,2,0.12,TRUE
2,1,2,1,1,0.31,TRUE
96,0,1,1,1,0.27,TRUE
4,1,1,0,2,0.66,FALSE
37,0,1,1,2,0.27,TRUE
20,1,0,0,1,0.02,FALSE
18,1,0,0,1,0.52,FALSE
73,0,0,0,2,0.21,TRUE
62,0,1,1,1,0.46,FALSE
38,1,2,1,1,0.16,TRUE
52,1,2,1,1,0.06,TRUE
18,1,1,1,1,0.14,TRUE
30,1,1,1,2,0.26,TRUE
48,1,1,1,1,0.13,FALSE
90,0,0,1,1,0.16,TRUE
43,1,2,1,2,0.05,TRUE
30,0,0,1,2,0.3,FALSE
81,1,1,1,1,0.15,TRUE
78,2,2,1,1,0.26,TRUE
28,0,1,1,2,0.75,TRUE
25,0,0,0,2,0.23,TRUE
96,0,0,1,1,0.36,TRUE
60,1,0,1,1,0.3,TRUE
76,0,2,1,0,0.09,TRUE
79,0,0,0,2,0.33,TRUE
70,0,2,0,1,0.33,TRUE
63,0,0,0,1,0.43,TRUE
40,1,1,1,2,0.55,TRUE
52,0,0,1,1,0.44,TRUE
2,0,1,0,1,0.41,TRUE
99,0,1,1,2,0.31,FALSE
95,2,0,0,2,0.21,TRUE
45,0,1,1,2,0.36,TRUE
70,1,0,1,1,0.44,FALSE
6,0,2,1,1,0.33,FALSE
66,0,2,0,2,0.55,FALSE
62,1,0,1,1,0.06,FALSE
74,1,0,1,2,0.39,TRUE
90,1,1,0,0,0.21,FALSE
52,0,1,0,2,0.37,TRUE
39,0,2,1,2,0.28,TRUE
6,0,0,0,2,0.21,TRUE
84,0,1,0,0,0.21,FALSE
85,1,2,1,2,0.3,FALSE
74,0,0,1,1,0.12,TRUE
88,1,0,0,1,0.7,TRUE
15,0,1,0,2,0.31,TRUE
34,1,0,1,0,0.3,FALSE
76,1,1,1,1,0.13,TRUE
60,1,1,0,2,0.26,FALSE
30,0,1,0,1,0.44,TRUE
13,1,1,0,2,0.22,TRUE
28,0,2,0,1,0.23,TRUE
81,0,0,0,1,0.05,TRUE
70,1,1,1,1,0.08,FALSE
66,0,2,0,0,0.12,TRUE
78,1,2,1,1,0.26,TRUE
24,2,1,1,0,0.24,TRUE
65,1,0,1,1,0.28,TRUE
98,1,1,0,1,0.17,TRUE
7,0,1,0,2,0.23,TRUE
10,1,1,1,2,0.23,TRUE
56,1,2,1,1,0.22,FALSE
80,0,1,1,1,0.13,TRUE
19,1,1,1,2,0.16,TRUE
26,0,1,1,0,0.44,FALSE
48,0,0,0,1,0.04,TRUE
57,0,2,1,2,0.23,FALSE
47,1,1,1,2,0.38,TRUE
38,0,1,0,2,0.24,TRUE
61,1,0,0,2,0.37,TRUE
57,1,1,1,1,0.21,TRUE
34,0,1,0,1,0.54,TRUE
92,0,1,1,0,0.24,TRUE
80,0,1,0,2,0.39,TRUE
57,0,2,1,1,0.53,TRUE
87,0,1,0,1,0.24,TRUE
87,0,0,1,1,0.3,TRUE
8,0,1,1,1,0.42,TRUE
73,0,2,0,0,0.3,TRUE
26,1,3,1,1,0.29,TRUE
73,0,0,0,2,0.14,FALSE
9,0,1,0,1,0.25,TRUE
84,0,1,1,2,0.26,TRUE
5,2,3,1,2,0.1,TRUE
57,1,3,0,1,0.17,TRUE
78,0,1,1,0,0.3,FALSE
89,0,0,1,2,0.77,TRUE
18,0,1,1,2,0.21,TRUE
96,0,0,1,2,0.57,FALSE
45,0,0,1,2,0.3,TRUE
23,0,2,0,1,0.18,TRUE
15,0,2,1,0,0.37,TRUE
76,2,3,1,0,0.22,TRUE
17,0,2,1,2,0.04,FALSE
98,0,0,1,1,0.42,TRUE
23,0,0,1,2,0.3,FALSE
59,1,1,1,1,0.1,TRUE
61,0,1,1,2,0.17,TRUE
82,1,1,0,2,0.25,TRUE
96,0,0,0,2,0.29,FALSE
58,0,3,1,2,0.28,TRUE
26,1,3,0,2,0.31,FALSE
49,1,0,0,2,0.06,FALSE
48,1,0,1,0,0.1,TRUE
80,0,1,0,1,0.34,TRUE
12,0,0,1,0,0.19,TRUE
32,0,0,0,1,0.26,TRUE
59,1,1,1,0,0.21,TRUE
22,1,3,0,1,0.36,TRUE
52,0,3,1,2,0.31,FALSE
22,2,3,1,2,0.28,FALSE
88,1,0,1,1,0.37,TRUE
93,1,0,0,2,0.34,FALSE
40,0,0,1,2,0.35,TRUE
62,1,1,1,1,0.44,FALSE
56,1,1,1,1,0.08,TRUE
99,1,2,1,1,0.34,FALSE
20,0,1,1,2,0.3,TRUE
44,0,3,0,0,0.17,TRUE
13,0,3,0,1,0.35,TRUE
69,0,1,1,1,0.17,TRUE
82,1,2,1,2,0.24,TRUE
76,0,0,1,2,0.38,TRUE
30,0,2,1,0,0.03,FALSE
65,1,2,1,2,0.63,FALSE
95,1,1,1,1,0.18,TRUE
56,1,2,0,1,0.16,TRUE
15,0,1,1,0,0.17,TRUE
83,1,0,1,2,0.14,FALSE
5,1,3,0,1,0.27,TRUE
80,0,0,1,2,0.48,TRUE
6,1,1,1,0,0.39,TRUE
61,0,2,0,1,0.01,FALSE
74,1,0,1,2,0.1,FALSE
16,1,0,1,2,0.12,TRUE
69,0,1,1,2,0.04,TRUE
54,0,1,0,2,0.36,TRUE
65,1,1,0,1,0.08,TRUE
69,0,1,1,0,0.02,TRUE
12,1,3,0,1,0.31,TRUE
38,0,0,1,2,0.15,TRUE
20,1,1,1,2,0.09,TRUE
72,0,0,0,1,0.18,TRUE
8,1,1,1,1,0.47,TRUE
71,0,0,1,2,0.06,FALSE
94,1,1,1,1,0.15,TRUE
44,1,1,1,2,0.45,TRUE
51,1,2,0,2,0.59,FALSE
83,1,0,0,0,0.73,TRUE
25,0,2,1,1,0.19,TRUE
79,1,1,1,1,0.12,TRUE
60,0,0,0,1,0.49,TRUE
55,0,3,1,1,0.26,TRUE
65,0,0,1,2,0.55,TRUE
89,0,3,1,1,0.31,FALSE
99,0,1,1,2,0.47,TRUE
92,0,2,0,2,0.28,FALSE
85,1,0,1,1,0.05,FALSE
64,1,1,1,1,0.71,TRUE
23,1,0,1,1,0.53,TRUE
29,0,1,1,2,0.58,TRUE
97,1,0,0,1,0.16,FALSE
90,0,1,1,2,0.47,TRUE
46,1,2,0,2,0.18,TRUE
77,1,2,0,1,0.27,TRUE
4,0,1,0,2,0.46,TRUE
97,0,2,1,2,0.24,TRUE
74,1,0,1,2,0.25,TRUE
39,0,0,1,0,0.23,TRUE
20,1,3,0,0,0.36,TRUE
38,1,0,1,1,0.07,TRUE
95,0,3,1,1,0.71,TRUE
77,0,2,0,1,0.13,TRUE
34,0,2,1,0,0.38,TRUE
75,1,2,1,2,0.37,TRUE
27,1,1,1,2,0.24,FALSE
7,1,2,1,1,0.2,FALSE
15,0,1,0,1,0.23,TRUE
62,0,1,0,0,0.08,FALSE
55,1,2,1,1,0.3,TRUE
75,0,1,1,2,0.16,TRUE
2,1,2,1,1,0.46,TRUE
11,1,0,1,2,0.2,TRUE
46,0,0,1,1,0.34,TRUE
55,1,3,0,1,0.1,FALSE
25,1,1,1,2,0.08,FALSE
56,2,1,0,1,0.22,FALSE
79,1,1,0,1,0.2,TRUE
66,0,1,1,1,0.18,FALSE
22,0,0,1,0,0.81,TRUE
74,0,2,1,2,0.39,TRUE
70,0,2,1,1,0.13,FALSE
32,0,1,1,2,0.06,TRUE
59,0,2,1,2,0.06,FALSE
77,0,2,1,1,0.15,TRUE
32,1,1,1,1,0.11,TRUE
2,1,0,0,1,0.39,TRUE
13,0,0,0,1,0.18,TRUE
71,1,0,0,1,0.48,TRUE
59,1,1,1,2,0.17,TRUE
32,0,0,1,1,0.04,FALSE
29,0,0,0,1,0.32,FALSE
39,1,2,0,0,0.19,FALSE
53,1,1,0,1,0.21,TRUE
42,1,3,1,2,0.45,TRUE
75,1,3,1,0,0.02,TRUE
76,1,1,1,0,0.11,TRUE
52,0,1,1,2,0.14,TRUE
27,1,3,1,1,0.29,FALSE
91,2,2,1,1,0.58,TRUE
30,1,1,0,2,0.43,TRUE
1,1,1,1,1,0.27,FALSE
90,1,1,0,1,0.22,TRUE
99,1,0,0,0,0.28,TRUE
60,2,0,0,0,0.3,TRUE
8,1,0,0,2,0.41,TRUE
92,0,1,1,1,0.45,FALSE
4,0,3,0,0,0.15,TRUE
95,0,1,1,1,0.39,FALSE
61,1,2,1,0,0.37,FALSE
57,1,0,1,2,0.35,FALSE
76,0,2,1,2,0.21,FALSE
81,0,0,1,0,0.28,TRUE
37,1,3,0,2,0.11,FALSE
18,1,1,0,1,0.32,TRUE
98,0,1,1,0,0.24,TRUE
86,1,3,1,2,0.49,TRUE
48,1,1,1,2,0.22,FALSE
12,1,3,1,1,0.27,FALSE
41,1,1,0,2,0.33,TRUE
35,1,0,0,1,0.2,TRUE
77,2,0,1,2,0.37,TRUE
90,0,3,0,1,0.19,TRUE
34,2,1,1,1,0.48,TRUE
77,0,0,1,1,0.02,TRUE
48,0,3,0,1,0.28,TRUE
67,1,1,1,0,0.16,TRUE
59,0,1,1,2,0.35,TRUE
61,1,3,0,1,0.43,TRUE
38,1,0,1,0,0.09,FALSE
59,0,1,1,2,0.17,TRUE
56,1,0,0,2,0.4,TRUE
99,0,0,1,2,0.14,FALSE
5,1,1,0,2,0.1,TRUE
23,0,0,1,1,0.16,FALSE
98,0,1,1,1,0.56,TRUE
71,0,0,1,1,0.08,FALSE
92,1,1,0,1,0.74,FALSE
31,0,2,0,2,0.29,TRUE
10,1,0,0,1,0.31,TRUE
47,1,0,0,1,0.47,TRUE
99,1,0,1,2,0.17,TRUE
25,0,1,0,1,0.36,FALSE
50,0,3,1,2,0.42,FALSE
6,1,1,1,2,0.33,TRUE
38,1,0,1,1,0.12,FALSE
37,0,3,0,1,0.46,TRUE
95,1,2,1,1,0.3,FALSE
88,1,1,0,1,0.32,FALSE
54,0,2,1,1,0.33,FALSE
93,1,0,0,1,0.25,FALSE
35,0,0,1,1,0.34,TRUE
37,1,0,0,1,0.25,TRUE
99,0,0,1,1,0.42,TRUE
2,0,0,0,1,0.43,FALSE
79,0,1,0,1,0.38,FALSE
44,0,1,0,2,0.27,TRUE
65,1,0,0,2,0.27,TRUE
89,0,0,1,1,0.28,TRUE
10,1,0,0,1,0.07,FALSE
98,0,1,1,1,0.43,TRUE
69,1,2,1,2,0.3,FALSE
61,1,1,0,2,0.46,TRUE
82,0,2,1,1,0.22,FALSE
96,0,1,1,2,0.22,FALSE
89,2,1,1,2,0.08,TRUE
2,1,1,1,1,0.24,TRUE
31,1,2,1,2,0.4,FALSE
32,0,0,1,0,0.12,TRUE
21,0,1,1,2,0.38,TRUE
82,0,1,0,0,0.21,TRUE
9,0,3,1,1,0.25,FALSE
87,0,1,1,1,0.26,TRUE
38,0,0,1,2,0.38,FALSE
87,0,1,0,1,0.2,FALSE
16,1,0,0,2,0.26,TRUE
56,1,1,1,1,0.35,TRUE
15,1,1,0,2,0.04,TRUE
24,1,1,0,2,0.49,TRUE
52,0,0,1,1,0.11,FALSE
38,0,2,0,1,0.17,TRUE
80,1,3,1,1,0.03,TRUE
43,1,1,0,2,0.29,TRUE
85,1,1,1,2,0.1,FALSE
26,0,1,1,0,0.28,TRUE
58,2,1,0,1,0.12,FALSE
45,0,2,0,1,0.13,TRUE
35,1,0,1,1,0.2,TRUE
45,0,0,0,2,0.09,TRUE
26,0,0,1,1,0.21,TRUE
67,0,0,1,2,0.4,FALSE
26,0,1,1,2,0.14,TRUE
7,1,1,1,1,0.1,TRUE
23,1,0,1,2,0.58,TRUE
55,1,0,0,1,0.07,TRUE
19,1,0,1,1,0.35,TRUE
13,0,2,1,2,0.14,TRUE
87,0,1,0,1,0.17,TRUE
65,0,2,0,1,0.17,FALSE
6,1,1,0,1,0.19,TRUE
72,0,0,0,2,0.32,FALSE
92,0,3,0,1,0.2,TRUE
92,0,2,0,2,0.13,FALSE
80,0,3,0,1,0.22,TRUE
96,0,0,1,2,0.84,TRUE
23,1,1,0,1,0.22,TRUE
62,1,1,0,2,0.48,FALSE
6,1,0,1,0,0.1,FALSE
71,0,2,1,0,0.08,FALSE
71,0,0,0,2,0.62,TRUE
61,0,0,1,1,0.49,TRUE
9,1,0,1,0,0.27,TRUE
90,0,1,0,2,0.38,TRUE
83,1,1,0,2,0.25,FALSE
91,1,3,1,1,0.53,TRUE
41,0,2,1,1,0.17,TRUE
77,1,1,1,1,0.42,TRUE
85,1,1,0,2,0.3,FALSE
28,1,1,0,2,0.18,TRUE
4,0,0,1,1,0.32,TRUE
72,0,1,0,1,0.33,FALSE
33,1,2,0,2,0.17,FALSE
15,0,0,1,2,0.28,TRUE
57,1,0,1,0,0.18,FALSE
7,1,0,0,2,0.13,FALSE
70,1,2,0,1,0.15,FALSE
50,0,1,0,1,0.15,TRUE
80,1,2,1,2,0.1,TRUE
64,0,0,1,0,0.33,TRUE
66,0,0,0,1,0.04,TRUE
89,1,1,0,2,0.49,TRUE
51,1,0,1,1,0.2,TRUE
19,1,1,1,1,0.21,TRUE
52,0,1,1,2,0.13,FALSE
69,0,2,1,1,0.42,TRUE
59,1,0,1,0,0.31,TRUE
58,0,1,1,0,0.3,TRUE
20,0,2,0,0,0.05,TRUE
23,0,1,0,1,0.09,TRUE
79,1,2,0,1,0.58,TRUE
9,1,3,0,1,0.09,FALSE
7,1,1,0,2,0.32,TRUE
3,0,1,0,1,0.13,TRUE
88,0,0,1,2,0.55,TRUE
85,0,1,1,2,0.07,FALSE
94,2,2,0,2,0.15,TRUE
18,1,1,0,1,0.43,TRUE
58,1,0,1,2,0.03,TRUE
80,0,3,0,2,0.32,TRUE
81,1,2,0,1,0.33,FALSE
49,0,1,1,1,0.28,TRUE
27,2,1,1,0,0.2,FALSE
74,0,2,1,0,0.36,TRUE
62,0,0,1,2,0.3,TRUE
20,1,2,0,0,0.09,TRUE
47,0,2,0,2,0.28,TRUE
21,0,1,0,1,0.15,TRUE
79,0,3,1,1,0.16,FALSE
11,1,2,1,2,0.29,TRUE
10,0,1,1,1,0.19,TRUE
14,2,2,0,1,0.31,FALSE
57,1,2,1,1,0.19,TRUE
48,0,1,1,2,0.25,TRUE
73,2,2,1,2,0.21,TRUE
30,0,2,1,2,0.17,FALSE
15,1,0,0,1,0.27,TRUE
81,1,2,1,1,0.27,TRUE
54,0,2,0,1,0.14,TRUE
96,1,1,1,1,0.38,TRUE
33,0,0,1,2,0.33,FALSE
16,0,0,0,1,0.38,TRUE
83,1,3,0,1,0.13,TRUE
51,1,1,1,2,0.31,FALSE
66,0,0,1,1,0.1,FALSE
57,0,0,1,2,0.59,TRUE
4,1,0,1,0,0.49,TRUE
5,1,1,0,2,0.27,TRUE
38,0,0,1,0,0.28,TRUE
8,0,1,1,0,0.18,TRUE
58,1,2,1,1,0.53,TRUE
24,0,2,1,2,0.51,TRUE
31,0,1,0,2,0.38,TRUE
21,1,2,0,1,0.16,TRUE
78,1,1,1,1,0.28,TRUE
71,1,0,1,1,0.33,TRUE
67,0,2,0,1,0.2,TRUE
26,1,1,0,2,0.27,TRUE
28,1,3,0,2,0.26,TRUE
83,1,0,0,2,0.43,TRUE
13,0,1,1,1,0.47,TRUE
59,1,0,1,1,0.3,TRUE
53,0,0,1,2,0.28,FALSE
65,0,0,1,0,0.14,FALSE
38,0,0,1,1,0.48,TRUE
9,1,0,0,1,0.18,TRUE
85,0,0,0,1,0.16,FALSE
65,1,0,0,0,0.4,FALSE
72,1,1,0,1,0.05,TRUE
22,0,0,1,1,0.45,TRUE
26,0,1,1,1,0.23,TRUE
63,0,0,1,1,0.19,TRUE
92,1,3,0,2,0.41,FALSE
81,0,2,1,0,0.38,FALSE
61,1,1,0,2,0.44,FALSE
57,1,3,0,1,0.36,TRUE
21,0,1,0,1,0.16,TRUE
92,1,0,1,2,0.54,FALSE
82,0,3,1,1,0.08,FALSE
33,0,1,0,2,0.46,FALSE
93,0,0,1,1,0.14,TRUE
95,1,1,0,0,0.23,TRUE
12,0,0,1,1,0.07,FALSE
59,0,1,1,1,0.21,TRUE
46,0,0,0,1,0.34,TRUE
83,0,0,0,1,0.14,TRUE
97,0,1,1,1,0.23,FALSE
94,0,1,0,1,0.32,TRUE
6,1,1,1,2,0.38,FALSE
20,0,1,1,1,0.14,TRUE
33,1,1,0,0,0.19,FALSE
29,1,1,1,1,0.32,TRUE
53,0,2,0,2,0.31,TRUE
59,0,1,1,1,0.34,TRUE
54,0,2,1,1,0.09,TRUE
53,0,1,1,1,0.46,FALSE
35,1,2,0,2,0.11,TRUE
26,0,0,1,1,0.47,TRUE
23,1,0,1,1,0.27,TRUE
37,1,2,1,1,0.29,FALSE
27,0,1,1,2,0.39,TRUE
48,0,3,0,1,0.26,TRUE
48,1,1,1,0,0.37,TRUE
23,1,3,0,1,0.4,TRUE
38,1,3,0,2,0.33,TRUE
50,2,3,1,0,0.28,TRUE
30,1,1,1,1,0.2,TRUE
51,0,2,1,1,0.4,TRUE
18,0,1,0,2,0.13,TRUE
50,0,3,1,1,0.12,TRUE
64,0,0,0,1,0.43,TRUE
94,1,0,1,1,0.33,TRUE
83,1,1,1,2,0.13,TRUE
64,1,3,1,1,0.5,TRUE
42,0,1,0,1,0.32,TRUE
43,1,0,1,1,0.22,TRUE
1,1,1,1,0,0.22,TRUE
45,0,3,1,0,0.38,FALSE
68,0,1,1,2,0.22,TRUE
81,0,1,0,0,0.1,TRUE
37,1,1,1,1,0.27,TRUE
70,1,1,0,1,0.1,TRUE
31,0,1,0,2,0.22,TRUE
38,1,0,0,2,0.12,TRUE
22,0,1,0,0,0.41,TRUE
85,1,1,0,1,0.14,TRUE
86,1,1,0,2,0.09,TRUE
45,1,2,1,1,0.33,TRUE
35,1,0,1,2,0.21,FALSE
93,0,2,0,1,0.58,TRUE
24,0,1,0,2,0.42,TRUE
62,1,1,1,2,0.48,TRUE
17,0,0,0,2,0.14,TRUE
45,1,0,1,1,0.64,TRUE
64,1,1,1,2,0.6,TRUE
50,1,2,0,2,0.22,FALSE
23,1,2,0,1,0.24,TRUE
74,1,1,1,1,0.38,TRUE
93,0,1,1,1,0.56,TRUE
27,0,0,1,1,0.22,TRUE
20,0,1,1,0,0.43,TRUE
12,0,1,1,2,0.05,FALSE
38,1,2,0,2,0.25,FALSE
58,1,1,1,1,0.55,TRUE
70,0,0,1,1,0.21,TRUE
54,1,2,1,0,0.15,FALSE
90,1,3,0,2,0.24,FALSE
88,1,0,0,1,0.14,FALSE
66,1,1,1,1,0.16,FALSE
68,1,2,1,0,0.2,FALSE
94,2,2,1,1,0.24,TRUE
2,0,1,1,1,0.08,TRUE
62,0,1,0,1,0.1,FALSE
61,1,0,0,1,0.12,TRUE
32,1,2,1,1,0.4,FALSE
6,0,0,1,1,0.39,FALSE
58,0,2,1,1,0.2,TRUE
65,0,2,1,2,0.14,FALSE
87,0,3,1,0,0.12,TRUE
29,1,1,1,1,0.12,TRUE
8,0,1,0,2,0.24,TRUE
55,1,1,1,2,0.03,FALSE
43,0,0,0,1,0.47,TRUE
88,0,1,1,1,0.28,FALSE
54,1,3,1,2,0.25,FALSE
13,1,1,0,2,0.38,TRUE
12,1,0,1,2,0.3,TRUE
69,1,1,1,1,0.33,TRUE
19,1,2,1,1,0.11,TRUE
82,0,2,0,1,0.22,TRUE
15,1,3,1,1,0.19,FALSE
76,0,0,1,1,0.23,FALSE
75,0,2,0,1,0.47,TRUE
5,2,0,0,1,0.08,TRUE
19,1,2,0,0,0.16,TRUE
2,1,2,0,1,0.04,FALSE
36,0,1,1,0,0.25,TRUE
9,0,2,0,2,0.18,TRUE
72,0,0,1,0,0.14,TRUE
31,1,0,0,1,0.2,FALSE
47,0,0,0,2,0.4,TRUE
94,1,0,1,1,0.11,TRUE
56,0,2,1,1,0.08,FALSE
14,0,0,1,1,0.64,TRUE
59,0,2,1,1,0.4,TRUE
23,0,2,1,0,0.08,TRUE
71,0,3,1,1,0.02,TRUE
21,0,2,1,1,0.25,TRUE
72,1,2,1,1,0.16,TRUE
68,0,1,1,0,0.19,TRUE
72,1,0,1,2,0.25,TRUE
75,0,1,1,1,0.44,TRUE
24,1,1,0,1,0.45,TRUE
9,0,1,0,1,0.33,TRUE
81,1,0,1,0,0.24,TRUE
18,1,1,1,2,0.31,FALSE
21,0,0,1,1,0.61,TRUE
95,1,2,1,0,0.32,TRUE
9,0,0,0,2,0.34,TRUE
45,0,3,1,1,0.6,TRUE
98,1,1,1,1,0.42,TRUE
81,0,1,1,2,0.17,TRUE
21,0,1,1,1,0.09,TRUE
87,0,1,1,2,0.38,TRUE
44,0,0,1,1,0.32,TRUE
36,0,2,0,2,0.12,TRUE
98,0,1,1,2,0.34,FALSE
74,1,1,1,1,0.53,TRUE
94,2,2,1,2,0.33,TRUE
36,0,1,0,1,0.45,TRUE
32,2,1,1,1,0.29,TRUE
27,1,1,0,1,0.5,TRUE
65,1,1,1,0,0.24,FALSE
81,0,2,1,0,0.3,TRUE
44,0,2,0,1,0.08,FALSE
73,0,0,1,2,0.07,TRUE
82,0,2,0,2,0.35,FALSE
22,1,2,1,1,0.14,TRUE
94,0,0,0,0,0.37,TRUE
75,1,0,1,2,0.35,FALSE
42,0,1,1,0,0.54,FALSE
79,1,0,0,2,0.02,FALSE
64,1,0,0,2,0.24,TRUE
12,1,2,0,1,0.55,TRUE
53,1,0,0,2,0.39,TRUE
90,1,1,0,2,0.44,TRUE
49,0,2,0,2,0.21,TRUE
6,0,0,1,1,0.13,TRUE
